n00001930,n00002684
n00002684,n00003553
n00003553,n00004475
n00004475,n00015388
n00015388,n01471682
n01471682,n01861778
n01861778,n01886756
n01886756,n02075296
n02075296,n02120997
n02120997,n02121620
n02121620,n02121808
n02121808,n02124075
n00003553,n00021939
n00021939,n03575240
n03575240,n03183080
n03183080,n03738472
n03738472,n03736970
n03736970,n04067472
n03575240,n03294048
n03294048,n03414162
n03414162,n02778669
n02778669,n04540053
n03575240,n03405265
n03405265,n03405725
n03405725,n04161981
n04161981,n03001627
n03001627,n04099969
n00003553,n00019128
n00019128,n13134947
n13134947,n07705931
n07705931,n07747055
n07747055,n07749582
n01471682,n01627424
n01627424,n01639765
n01639765,n01641577
n02778669,n02802426
n00002684,n09287968
n09287968,n09246464
n00001930,n00020827
n00020827,n00019613
n00019613,n07881800
n07881800,n07920052
n03575240,n03563967
n03563967,n04451818
n04451818,n03489162
n03489162,n03970156
n03183080,n03574816
n03574816,n03733925
n03733925,n04437953
n04437953,n04438304
n04438304,n03891332
n02075296,n02083346
n02083346,n02084071
n02084071,n02103406
n02103406,n02104523
n02104523,n02106662
n03405725,n03201208
n00015388,n01905661
n01905661,n01767661
n01767661,n02159955
n02159955,n02274259
n02274259,n02279972
n02075296,n02131653
n02131653,n02132136
n03575240,n03100490
n03100490,n04019101
n04019101,n02924116
n02924116,n04146614
n00020827,n00021265
n00021265,n07570720
n07570720,n07557434
n07557434,n07873807
n01886756,n02329401
n02329401,n02364673
n00021939,n03122748
n03122748,n04014297
n04014297,n04191943
n04191943,n04507155
n03183080,n03800933
n03800933,n03614532
n03614532,n03854065
n03800933,n04586932
n04586932,n04598582
n04598582,n02817799
n02817799,n03228016
n03228016,n03838899
n03183080,n04359589
n04359589,n03733131
n01471682,n02512053
n02512053,n02528163
n02528163,n01428580
n01428580,n01439121
n01439121,n01443537
n07557434,n07875152
n04437953,n03544143
n09287968,n09433442
n09433442,n09428293
n03294048,n03278248
n03278248,n03163973
n03163973,n03085013
n01886756,n02370806
n02370806,n02394477
n02394477,n02437312
n07570720,n07556970
n07556970,n07609840
n07609840,n07611358
n07611358,n07614500
n03183080,n04081844
n04081844,n03323703
n03323703,n03804744
n03183080,n03508101
n03508101,n04265275
n00021939,n03076708
n03076708,n03093574
n03093574,n03051540
n03051540,n03419014
n03419014,n04370048
n04370048,n02963159
n01886756,n02469914
n02469914,n02484322
n02484322,n02484473
n02484473,n02486410
n01905661,n01940736
n01940736,n01942177
n01942177,n01944390
n09287968,n09366317
n09366317,n09256479
n01471682,n01503061
n01503061,n01844917
n01844917,n02021795
n02021795,n02058221
n03183080,n04474466
n04474466,n04275548
n01905661,n02316707
n02316707,n02321529
n03575240,n03094503
n03094503,n02773037
n02773037,n02769748
n02084071,n02087122
n02087122,n02098550
n02098550,n02099029
n02099029,n02099712
n00021265,n07566340
n07566340,n07679356
n07679356,n07695742
n02021795,n02056570
n02274259,n02281406
n01767661,n01769347
n01769347,n01772222
n01772222,n01774750
n02075296,n02507649
n02507649,n02509815
n03094503,n04531098
n04531098,n02876657
n02876657,n03983396
n07705931,n07753592
n03051540,n03540267
n03540267,n04254777
n02159955,n02232951
n02232951,n02233338
n03574816,n04565375
n04565375,n04008634
n02876657,n02823428
n02232951,n02236044
n03100490,n04524313
n04524313,n04576211
n04576211,n02959942
n02959942,n03393912
n07566340,n07810907
n07810907,n07583066
n03183080,n04074963
n01627424,n01629276
n01629276,n01629819
n09433442,n09332890
n02469914,n02470899
n02470899,n02480153
n02480153,n02481823
n03278248,n04401088
n04401088,n03902125
n03419014,n03863923
n03863923,n03057021
n03057021,n03404251
n09366317,n09359803
n09359803,n09193705
n04014297,n03637318
n03183080,n04263760
n04263760,n04456115
n03183080,n03699975
n03699975,n02666196
n04576211,n04170037
n04170037,n03791235
n03791235,n04490091
n04490091,n04520170
n04520170,n03796401
n04531098,n02795169
n02121808,n02123045
n01844917,n01845477
n01845477,n01855672
n01861778,n01874434
n01874434,n01882714
n04019101,n02917067
n03278248,n02988304
n03563967,n03101986
n03101986,n03990474
n03990474,n04398044
