root,n01524359
n01524359,n01530575
n01524359,n01531178
n01524359,n01532829
n01524359,n01534433
n01524359,n01537544
n01524359,n01558993
n01524359,n01560419
n01524359,n01580077
n01524359,n01582220
n01524359,n01592084
n01524359,n01601694
root,n01674216
n01674216,n01675722
n01674216,n01677366
n01674216,n01682714
n01674216,n01685808
n01674216,n01687978
n01674216,n01688243
n01674216,n01689811
n01674216,n01692333
n01674216,n01693334
n01674216,n01694178
n01674216,n01695060
root,n01726692
n01726692,n01728572
n01726692,n01728920
n01726692,n01729322
n01726692,n01729977
n01726692,n01734418
n01726692,n01735189
n01726692,n01737021
n01726692,n01739381
n01726692,n01740131
n01726692,n01742172
n01726692,n01744401
n01726692,n01748264
n01726692,n01749939
n01726692,n01751748
n01726692,n01753488
n01726692,n01755581
n01726692,n01756291
root,n01844917
n01844917,n01847000
n01844917,n01855032
n01844917,n01855672
n01844917,n01860187
n01844917,n02002556
n01844917,n02002724
n01844917,n02006656
n01844917,n02007558
n01844917,n02009229
n01844917,n02009912
n01844917,n02011460
n01844917,n02012849
n01844917,n02013706
n01844917,n02017213
n01844917,n02018207
n01844917,n02018795
n01844917,n02025239
n01844917,n02027492
n01844917,n02028035
n01844917,n02033041
n01844917,n02037110
n01844917,n02051845
n01844917,n02056570
n01844917,n02058221
root,n02087551
n02087551,n02088094
n02087551,n02088238
n02087551,n02088364
n02087551,n02088466
n02087551,n02088632
n02087551,n02089078
n02087551,n02089867
n02087551,n02089973
n02087551,n02090379
n02087551,n02090622
n02087551,n02090721
n02087551,n02091032
n02087551,n02091134
n02087551,n02091244
n02087551,n02091467
n02087551,n02091635
n02087551,n02091831
n02087551,n02092002
n02087551,n02092339
root,n02092468
n02092468,n02093256
n02092468,n02093428
n02092468,n02093647
n02092468,n02093754
n02092468,n02093859
n02092468,n02093991
n02092468,n02094114
n02092468,n02094258
n02092468,n02094433
n02092468,n02095314
n02092468,n02095570
n02092468,n02095889
n02092468,n02096051
n02092468,n02096177
n02092468,n02096294
n02092468,n02096437
n02092468,n02096585
n02092468,n02097047
n02092468,n02097130
n02092468,n02097209
n02092468,n02097298
n02092468,n02097474
n02092468,n02097658
n02092468,n02098105
n02092468,n02098286
n02092468,n02098413
root,n02120997
n02120997,n02123045
n02120997,n02123159
n02120997,n02123394
n02120997,n02123597
n02120997,n02124075
n02120997,n02125311
n02120997,n02127052
n02120997,n02128385
n02120997,n02128757
n02120997,n02128925
n02120997,n02129165
n02120997,n02129604
n02120997,n02130308
root,n02370806
n02370806,n02389026
n02370806,n02391049
n02370806,n02395406
n02370806,n02396427
n02370806,n02397096
n02370806,n02398521
n02370806,n02403003
n02370806,n02408429
n02370806,n02410509
n02370806,n02412080
n02370806,n02415577
n02370806,n02417914
n02370806,n02422106
n02370806,n02422699
n02370806,n02423022
n02370806,n02437312
n02370806,n02437616
root,n02469914
n02469914,n02480495
n02469914,n02480855
n02469914,n02481823
n02469914,n02483362
n02469914,n02483708
