Life,Animalia
Animalia,Annelida
Annelida,Polychaeta
Polychaeta,Sabellida
Sabellida,Serpulidae
Serpulidae,Serpula
Serpula,Serpula columbiana
Animalia,Arthropoda
Arthropoda,Arachnida
Arachnida,Araneae
Araneae,Agelenidae
Agelenidae,Eratigena
Eratigena,Eratigena duellica
Araneae,Araneidae
Araneidae,Aculepeira
Aculepeira,Aculepeira ceropegia
Araneidae,Agalenatea
Agalenatea,Agalenatea redii
Araneidae,Araniella
Araniella,Araniella displicata
Araneidae,Austracantha
Austracantha,Austracantha minax
Araneidae,Cyclosa
Cyclosa,Cyclosa conica
Cyclosa,Cyclosa turbinata
Araneidae,Cyrtophora
Cyrtophora,Cyrtophora citricola
Araneidae,Eriophora
Eriophora,Eriophora pustulosa
Eriophora,Eriophora ravilla
Araneidae,Mecynogea
Mecynogea,Mecynogea lemniscata
Araneidae,Micrathena
Micrathena,Micrathena gracilis
Micrathena,Micrathena mitrata
Micrathena,Micrathena sagittata
Araneidae,Neoscona
Neoscona,Neoscona arabesca
Neoscona,Neoscona crucifera
Neoscona,Neoscona domiciliorum
Neoscona,Neoscona oaxacensis
Araneidae,Nephila
Nephila,Nephila pilipes
Araneidae,Nuctenea
Nuctenea,Nuctenea umbratica
Araneidae,Thelacantha
Thelacantha,Thelacantha brevispina
Araneidae,Verrucosa
Verrucosa,Verrucosa arenata
Araneidae,Zygiella
Zygiella,Zygiella x-notata
Araneae,Cheiracanthiidae
Cheiracanthiidae,Cheiracanthium
Cheiracanthium,Cheiracanthium mildei
Araneae,Desidae
Desidae,Badumna
Badumna,Badumna longinqua
Araneae,Dysderidae
Dysderidae,Dysdera
Dysdera,Dysdera crocata
Araneae,Filistatidae
Filistatidae,Kukulcania
Kukulcania,Kukulcania hibernalis
Araneae,Linyphiidae
Linyphiidae,Frontinella
Frontinella,Frontinella pyramitela
Araneae,Lycosidae
Lycosidae,Hogna
Hogna,Hogna radiata
Araneae,Oxyopidae
Oxyopidae,Peucetia
Peucetia,Peucetia viridans
Araneae,Pholcidae
Pholcidae,Holocnemus
Holocnemus,Holocnemus pluchei
Araneae,Pisauridae
Pisauridae,Pisaura
Pisaura,Pisaura mirabilis
Pisauridae,Pisaurina
Pisaurina,Pisaurina mira
Araneae,Salticidae
Salticidae,Anasaitis
Anasaitis,Anasaitis canosa
Salticidae,Attulus
Attulus,Attulus fasciger
Salticidae,Colonus
Colonus,Colonus hesperus
Colonus,Colonus sylvanus
Salticidae,Eris
Eris,Eris militaris
Salticidae,Hentzia
Hentzia,Hentzia mitrata
Hentzia,Hentzia palmarum
Salticidae,Metacyrba
Metacyrba,Metacyrba taeniola
Salticidae,Naphrys
Naphrys,Naphrys pulex
Salticidae,Pelegrina
Pelegrina,Pelegrina galathea
Salticidae,Philaeus
Philaeus,Philaeus chrysops
Salticidae,Salticus
Salticus,Salticus scenicus
Salticidae,Trite
Trite,Trite auricoma
Trite,Trite planiceps
Araneae,Sparassidae
Sparassidae,Heteropoda
Heteropoda,Heteropoda venatoria
Araneae,Theraphosidae
Theraphosidae,Aphonopelma
Aphonopelma,Aphonopelma chalcodes
Aphonopelma,Aphonopelma eutylenum
Aphonopelma,Aphonopelma hentzi
Aphonopelma,Aphonopelma iodius
Araneae,Theridiidae
Theridiidae,Enoplognatha
Enoplognatha,Enoplognatha ovata
Theridiidae,Parasteatoda
Parasteatoda,Parasteatoda tepidariorum
