Life,Animalia
Animalia,Annelida
Annelida,Clitellata
Clitellata,Haplotaxida
Haplotaxida,Lumbricidae
Lumbricidae,Lumbricus
Lumbricus,Lumbricus terrestris
Annelida,Polychaeta
Polychaeta,Sabellida
Sabellida,Sabellidae
Sabellidae,Sabella
Sabella,Sabella spallanzanii
Sabellida,Serpulidae
Serpulidae,Spirobranchus
Spirobranchus,Spirobranchus cariniferus
Animalia,Arthropoda
Arthropoda,Arachnida
Arachnida,Araneae
Araneae,Antrodiaetidae
Antrodiaetidae,Atypoides
Atypoides,Atypoides riversi
Araneae,Araneidae
Araneidae,Araneus
Araneus,Araneus bicentenarius
Araneus,Araneus diadematus
Araneus,Araneus marmoreus
Araneus,Araneus quadratus
Araneus,Araneus trifolium
Araneidae,Argiope
Argiope,Argiope appensa
Argiope,Argiope argentata
Argiope,Argiope aurantia
Argiope,Argiope australis
Argiope,Argiope bruennichi
Argiope,Argiope keyserlingi
Argiope,Argiope lobata
Argiope,Argiope trifasciata
Araneidae,Gasteracantha
Gasteracantha,Gasteracantha cancriformis
Gasteracantha,Gasteracantha kuhli
Araneidae,Larinioides
Larinioides,Larinioides cornutus
Araneidae,Mangora
Mangora,Mangora acalypha
Mangora,Mangora placida
Araneidae,Trichonephila
Trichonephila,Trichonephila clavata
Trichonephila,Trichonephila clavipes
Trichonephila,Trichonephila edulis
Trichonephila,Trichonephila fenestrata
Trichonephila,Trichonephila plumipes
Araneae,Corinnidae
Corinnidae,Nyssus
Nyssus,Nyssus coloripes
Araneae,Gnaphosidae
Gnaphosidae,Herpyllus
Herpyllus,Herpyllus ecclesiasticus
Araneae,Linyphiidae
Linyphiidae,Neriene
Neriene,Neriene radiata
Araneae,Lycosidae
Lycosidae,Rabidosa
Rabidosa,Rabidosa rabida
Araneae,Oxyopidae
Oxyopidae,Oxyopes
Oxyopes,Oxyopes salticus
Oxyopes,Oxyopes scalaris
Araneae,Pholcidae
Pholcidae,Pholcus
Pholcus,Pholcus phalangioides
Araneae,Pisauridae
Pisauridae,Dolomedes
Dolomedes,Dolomedes albineus
Dolomedes,Dolomedes minor
Dolomedes,Dolomedes scriptus
Dolomedes,Dolomedes tenebrosus
Dolomedes,Dolomedes triton
Araneae,Salticidae
Salticidae,Hasarius
Hasarius,Hasarius adansoni
Salticidae,Helpis
Helpis,Helpis minitabunda
Salticidae,Hypoblemum
