Life,Animalia
Animalia,Annelida
Annelida,Clitellata
Clitellata,Haplotaxida
Haplotaxida,Lumbricidae
Lumbricidae,Lumbricus
Lumbricus,Lumbricus terrestris
Annelida,Polychaeta
Polychaeta,Sabellida
Sabellida,Sabellidae
Sabellidae,Sabella
Sabella,Sabella spallanzanii
Animalia,Arthropoda
Arthropoda,Arachnida
Arachnida,Araneae
Araneae,Antrodiaetidae
Antrodiaetidae,Atypoides
Atypoides,Atypoides riversi
Araneae,Araneidae
Araneidae,Aculepeira
Aculepeira,Aculepeira ceropegia
Araneidae,Agalenatea
Agalenatea,Agalenatea redii
Araneidae,Araneus
Araneus,Araneus bicentenarius
Araneus,Araneus diadematus
Araneus,Araneus marmoreus
Araneus,Araneus quadratus
Araneus,Araneus trifolium
Araneidae,Araniella
Araniella,Araniella displicata
Araneidae,Argiope
Argiope,Argiope appensa
Argiope,Argiope argentata
Argiope,Argiope aurantia
Argiope,Argiope australis
Argiope,Argiope bruennichi
Argiope,Argiope keyserlingi
Argiope,Argiope lobata
Argiope,Argiope trifasciata
Araneidae,Austracantha
Austracantha,Austracantha minax
Araneidae,Cyclosa
Cyclosa,Cyclosa conica
Cyclosa,Cyclosa turbinata
Araneidae,Cyrtophora
Cyrtophora,Cyrtophora citricola
Araneidae,Eriophora
Eriophora,Eriophora pustulosa
Eriophora,Eriophora ravilla
Araneidae,Gasteracantha
Gasteracantha,Gasteracantha cancriformis
Gasteracantha,Gasteracantha kuhli
Araneidae,Larinioides
Larinioides,Larinioides cornutus
Araneidae,Mangora
Mangora,Mangora acalypha
Mangora,Mangora placida
Araneidae,Mecynogea
Mecynogea,Mecynogea lemniscata
Araneidae,Micrathena
Micrathena,Micrathena gracilis
Micrathena,Micrathena mitrata
Micrathena,Micrathena sagittata
Araneidae,Neoscona
Neoscona,Neoscona arabesca
Neoscona,Neoscona crucifera
Neoscona,Neoscona domiciliorum
Neoscona,Neoscona oaxacensis
Araneidae,Nephila
Nephila,Nephila pilipes
Araneidae,Nuctenea
Nuctenea,Nuctenea umbratica
Araneidae,Thelacantha
Thelacantha,Thelacantha brevispina
Araneidae,Trichonephila
Trichonephila,Trichonephila clavata
Trichonephila,Trichonephila clavipes
Trichonephila,Trichonephila edulis
Trichonephila,Trichonephila fenestrata
Trichonephila,Trichonephila plumipes
Araneidae,Verrucosa
