Life,Animalia
Animalia,Annelida
Annelida,Clitellata
Clitellata,Haplotaxida
Annelida,Polychaeta
Polychaeta,Sabellida
Animalia,Arthropoda
Arthropoda,Arachnida
Arachnida,Araneae
Arachnida,Endeostigmata
Arachnida,Ixodida
Arachnida,Opiliones
Arachnida,Scorpiones
Arthropoda,Chilopoda
Chilopoda,Scolopendromorpha
Chilopoda,Scutigeromorpha
Arthropoda,Diplopoda
Diplopoda,Julida
Diplopoda,Polydesmida
Diplopoda,Spirobolida
Arthropoda,Hexanauplia
Hexanauplia,Lepadiformes
Hexanauplia,Scalpelliformes
Hexanauplia,Sessilia
Arthropoda,Insecta
Insecta,Blattodea
Insecta,Coleoptera
Insecta,Dermaptera
Insecta,Diptera
Insecta,Ephemeroptera
Insecta,Hemiptera
Insecta,Hymenoptera
Insecta,Lepidoptera
Insecta,Mantodea
Insecta,Mecoptera
Insecta,Megaloptera
Insecta,Neuroptera
Insecta,Odonata
Insecta,Orthoptera
Insecta,Phasmida
Insecta,Psocodea
Insecta,Zygentoma
Arthropoda,Malacostraca
Malacostraca,Decapoda
Malacostraca,Isopoda
Arthropoda,Merostomata
Merostomata,Xiphosurida
Animalia,Chordata
Chordata,Actinopterygii
Actinopterygii,Amiiformes
Actinopterygii,Anguilliformes
Actinopterygii,Aulopiformes
Actinopterygii,Clupeiformes
Actinopterygii,Cypriniformes
Actinopterygii,Cyprinodontiformes
Actinopterygii,Elopiformes
Actinopterygii,Esociformes
Actinopterygii,Gasterosteiformes
Actinopterygii,Gobiesociformes
Actinopterygii,Lepisosteiformes
Actinopterygii,Mugiliformes
Actinopterygii,Perciformes
Actinopterygii,Salmoniformes
Actinopterygii,Scorpaeniformes
Actinopterygii,Siluriformes
Actinopterygii,Syngnathiformes
Actinopterygii,Tetraodontiformes
Chordata,Amphibia
Amphibia,Anura
Amphibia,Caudata
Chordata,Ascidiacea
Ascidiacea,Stolidobranchia
Chordata,Aves
Aves,Accipitriformes
Aves,Anseriformes
Aves,Bucerotiformes
Aves,Caprimulgiformes
Aves,Casuariiformes
Aves,Cathartiformes
Aves,Charadriiformes
Aves,Ciconiiformes
Aves,Coliiformes
Aves,Columbiformes
Aves,Coraciiformes
Aves,Cuculiformes
Aves,Falconiformes
Aves,Galbuliformes
Aves,Galliformes
Aves,Gaviiformes
Aves,Gruiformes
Aves,Musophagiformes
Aves,Opisthocomiformes
Aves,Otidiformes
Aves,Passeriformes
Aves,Pelecaniformes
Aves,Phoenicopteriformes
Aves,Piciformes
Aves,Podicipediformes
Aves,Procellariiformes
Aves,Psittaciformes
Aves,Sphenisciformes
Aves,Strigiformes
Aves,Struthioniformes
Aves,Suliformes
Aves,Trogoniformes
Chordata,Elasmobranchii
Elasmobranchii,Carcharhiniformes
Elasmobranchii,Heterodontiformes
Elasmobranchii,Lamniformes
Elasmobranchii,Myliobatiformes
Elasmobranchii,Orectolobiformes
Elasmobranchii,Rhinopristiformes
Chordata,Mammalia
Mammalia,Artiodactyla
Mammalia,Carnivora
Mammalia,Chiroptera
Mammalia,Cingulata
Mammalia,Dermoptera
Mammalia,Didelphimorphia
Mammalia,Diprotodontia
Mammalia,Eulipotyphla
Mammalia,Hyracoidea
Mammalia,Lagomorpha
Mammalia,Monotremata
Mammalia,Perissodactyla
Mammalia,Pilosa
Mammalia,Primates
Mammalia,Mammalia/Proboscidea
Mammalia,Rodentia
Mammalia,Sirenia
Chordata,Reptilia
Reptilia,Crocodylia
Reptilia,Rhynchocephalia
Reptilia,Squamata
Reptilia,Testudines
Animalia,Cnidaria
Cnidaria,Anthozoa
Anthozoa,Actiniaria
Anthozoa,Corallimorpharia
Cnidaria,Hydrozoa
Hydrozoa,Anthoathecata
Hydrozoa,Siphonophorae
Cnidaria,Scyphozoa
Scyphozoa,Rhizostomeae
Scyphozoa,Semaeostomeae
Animalia,Echinodermata
Echinodermata,Asteroidea
Asteroidea,Forcipulatida
Asteroidea,Spinulosida
Asteroidea,Valvatida
Echinodermata,Echinoidea
Echinoidea,Camarodonta
Echinoidea,Clypeasteroida
Echinodermata,Holothuroidea
Holothuroidea,Dendrochirotida
Holothuroidea,Synallactida
Echinodermata,Ophiuroidea
Ophiuroidea,Amphilepidida
Animalia,Mollusca
Mollusca,Bivalvia
Bivalvia,Adapedonta
Bivalvia,Cardiida
Bivalvia,Myida
Bivalvia,Mytilida
Bivalvia,Ostreida
Bivalvia,Pectinida
Bivalvia,Unionida
Bivalvia,Venerida
Mollusca,Cephalopoda
Cephalopoda,Octopoda
Cephalopoda,Sepiida
