Life,Animalia
Animalia,Annelida
Annelida,Polychaeta
Polychaeta,Sabellida
Sabellida,Serpulidae
Serpulidae,Spirobranchus
Spirobranchus,Spirobranchus cariniferus
Animalia,Arthropoda
Arthropoda,Arachnida
Arachnida,Araneae
Araneae,Agelenidae
Agelenidae,Eratigena
Eratigena,Eratigena duellica
Araneae,Araneidae
Araneidae,Agalenatea
Agalenatea,Agalenatea redii
Araneidae,Araneus
Araneus,Araneus bicentenarius
Araneus,Araneus quadratus
Araneidae,Argiope
Argiope,Argiope appensa
Argiope,Argiope bruennichi
Argiope,Argiope keyserlingi
Argiope,Argiope trifasciata
Araneidae,Cyclosa
Cyclosa,Cyclosa turbinata
Araneidae,Cyrtophora
Cyrtophora,Cyrtophora citricola
Araneidae,Eriophora
Eriophora,Eriophora pustulosa
Araneidae,Gasteracantha
Gasteracantha,Gasteracantha kuhli
Araneidae,Mangora
Mangora,Mangora placida
Araneidae,Micrathena
Micrathena,Micrathena mitrata
Micrathena,Micrathena sagittata
Araneidae,Neoscona
Neoscona,Neoscona arabesca
Neoscona,Neoscona oaxacensis
Araneidae,Nephila
Nephila,Nephila pilipes
Araneidae,Thelacantha
Thelacantha,Thelacantha brevispina
Araneidae,Trichonephila
Trichonephila,Trichonephila clavata
Trichonephila,Trichonephila clavipes
Trichonephila,Trichonephila plumipes
Araneae,Cheiracanthiidae
Cheiracanthiidae,Cheiracanthium
Cheiracanthium,Cheiracanthium mildei
Araneae,Corinnidae
Corinnidae,Nyssus
Nyssus,Nyssus coloripes
Araneae,Desidae
Desidae,Badumna
Badumna,Badumna longinqua
Araneae,Dysderidae
Dysderidae,Dysdera
Dysdera,Dysdera crocata
Araneae,Gnaphosidae
Gnaphosidae,Herpyllus
Herpyllus,Herpyllus ecclesiasticus
Araneae,Linyphiidae
Linyphiidae,Frontinella
Frontinella,Frontinella pyramitela
Linyphiidae,Neriene
Neriene,Neriene radiata
Araneae,Oxyopidae
Oxyopidae,Oxyopes
Oxyopes,Oxyopes scalaris
Oxyopidae,Peucetia
Peucetia,Peucetia viridans
Araneae,Pholcidae
Pholcidae,Pholcus
Pholcus,Pholcus phalangioides
Araneae,Pisauridae
Pisauridae,Dolomedes
Dolomedes,Dolomedes albineus
Dolomedes,Dolomedes scriptus
Dolomedes,Dolomedes triton
Pisauridae,Pisaura
Pisaura,Pisaura mirabilis
Pisauridae,Pisaurina
Pisaurina,Pisaurina mira
Araneae,Salticidae
Salticidae,Colonus
Colonus,Colonus hesperus
Salticidae,Helpis
Helpis,Helpis minitabunda
Salticidae,Hentzia
Hentzia,Hentzia palmarum
Salticidae,Lyssomanes
Lyssomanes,Lyssomanes viridis
Salticidae,Maevia
Maevia,Maevia inclemens
Salticidae,Menemerus
Menemerus,Menemerus bivittatus
Salticidae,Pelegrina
Pelegrina,Pelegrina galathea
Salticidae,Phidippus
Phidippus,Phidippus clarus
Salticidae,Philaeus
Philaeus,Philaeus chrysops
Salticidae,Platycryptus
Platycryptus,Platycryptus undatus
Salticidae,Plexippus
Plexippus,Plexippus paykulli
Salticidae,Salticus
Salticus,Salticus scenicus
Salticidae,Sassacus
Sassacus,Sassacus vitis
Salticidae,Trite
Trite,Trite planiceps
Araneae,Sparassidae
Sparassidae,Heteropoda
Heteropoda,Heteropoda venatoria
Araneae,Tetragnathidae
Tetragnathidae,Leucauge
Leucauge,Leucauge argyra
Leucauge,Leucauge venusta
