Life,Animalia
Animalia,Annelida
Annelida,Clitellata
Clitellata,Haplotaxida
Haplotaxida,Lumbricidae
Lumbricidae,Lumbricus
Lumbricus,Lumbricus terrestris
Annelida,Polychaeta
Polychaeta,Sabellida
Sabellida,Sabellidae
Sabellidae,Sabella
Sabella,Sabella spallanzanii
Sabellida,Serpulidae
Serpulidae,Serpula
Serpula,Serpula columbiana
Animalia,Arthropoda
Arthropoda,Arachnida
Arachnida,Araneae
Araneae,Antrodiaetidae
Antrodiaetidae,Atypoides
Atypoides,Atypoides riversi
Araneae,Araneidae
Araneidae,Aculepeira
Aculepeira,Aculepeira ceropegia
Araneidae,Araneus
Araneus,Araneus diadematus
Araneus,Araneus marmoreus
Araneus,Araneus trifolium
Araneidae,Araniella
Araniella,Araniella displicata
Araneidae,Argiope
Argiope,Argiope argentata
Argiope,Argiope aurantia
Argiope,Argiope australis
Argiope,Argiope lobata
Araneidae,Austracantha
Austracantha,Austracantha minax
Araneidae,Cyclosa
Cyclosa,Cyclosa conica
Araneidae,Eriophora
Eriophora,Eriophora ravilla
Araneidae,Gasteracantha
Gasteracantha,Gasteracantha cancriformis
Araneidae,Larinioides
Larinioides,Larinioides cornutus
Araneidae,Mangora
Mangora,Mangora acalypha
Araneidae,Mecynogea
Mecynogea,Mecynogea lemniscata
Araneidae,Micrathena
Micrathena,Micrathena gracilis
Araneidae,Neoscona
Neoscona,Neoscona crucifera
Neoscona,Neoscona domiciliorum
Araneidae,Nuctenea
Nuctenea,Nuctenea umbratica
Araneidae,Trichonephila
Trichonephila,Trichonephila edulis
Trichonephila,Trichonephila fenestrata
Araneidae,Verrucosa
Verrucosa,Verrucosa arenata
Araneidae,Zygiella
Zygiella,Zygiella x-notata
Araneae,Filistatidae
Filistatidae,Kukulcania
Kukulcania,Kukulcania hibernalis
Araneae,Lycosidae
Lycosidae,Hogna
Hogna,Hogna radiata
Lycosidae,Rabidosa
Rabidosa,Rabidosa rabida
Araneae,Oxyopidae
Oxyopidae,Oxyopes
Oxyopes,Oxyopes salticus
Araneae,Pholcidae
Pholcidae,Holocnemus
Holocnemus,Holocnemus pluchei
Araneae,Pisauridae
Pisauridae,Dolomedes
Dolomedes,Dolomedes minor
Dolomedes,Dolomedes tenebrosus
Araneae,Salticidae
Salticidae,Anasaitis
Anasaitis,Anasaitis canosa
Salticidae,Attulus
