Life,Animalia
Animalia,Annelida
Annelida,Clitellata
Clitellata,Haplotaxida
Haplotaxida,Lumbricidae
Lumbricidae,Lumbricus
Annelida,Polychaeta
Polychaeta,Sabellida
Sabellida,Sabellidae
Sabellidae,Sabella
Sabellida,Serpulidae
Serpulidae,Serpula
Serpulidae,Spirobranchus
Animalia,Arthropoda
Arthropoda,Arachnida
Arachnida,Araneae
Araneae,Agelenidae
Agelenidae,Eratigena
Araneae,Antrodiaetidae
Antrodiaetidae,Atypoides
Araneae,Araneidae
Araneidae,Aculepeira
Araneidae,Agalenatea
Araneidae,Araneus
Araneidae,Araniella
Araneidae,Argiope
Araneidae,Austracantha
Araneidae,Cyclosa
Araneidae,Cyrtophora
Araneidae,Eriophora
Araneidae,Gasteracantha
Araneidae,Larinioides
Araneidae,Mangora
Araneidae,Mecynogea
Araneidae,Micrathena
Araneidae,Neoscona
Araneidae,Nephila
Araneidae,Nuctenea
Araneidae,Thelacantha
Araneidae,Trichonephila
Araneidae,Verrucosa
Araneidae,Zygiella
Araneae,Cheiracanthiidae
Cheiracanthiidae,Cheiracanthium
Araneae,Corinnidae
Corinnidae,Nyssus
Araneae,Desidae
Desidae,Badumna
Araneae,Dysderidae
Dysderidae,Dysdera
Araneae,Filistatidae
Filistatidae,Kukulcania
Araneae,Gnaphosidae
Gnaphosidae,Herpyllus
Araneae,Linyphiidae
Linyphiidae,Frontinella
Linyphiidae,Neriene
Araneae,Lycosidae
Lycosidae,Hogna
Lycosidae,Rabidosa
Araneae,Oxyopidae
Oxyopidae,Oxyopes
Oxyopidae,Peucetia
Araneae,Pholcidae
Pholcidae,Holocnemus
Pholcidae,Pholcus
Araneae,Pisauridae
Pisauridae,Dolomedes
Pisauridae,Pisaura
Pisauridae,Pisaurina
Araneae,Salticidae
Salticidae,Anasaitis
Salticidae,Attulus
Salticidae,Colonus
Salticidae,Eris
Salticidae,Hasarius
Salticidae,Helpis
Salticidae,Hentzia
Salticidae,Hypoblemum
Salticidae,Lyssomanes
Salticidae,Maevia
Salticidae,Marpissa
Salticidae,Menemerus
Salticidae,Metacyrba
Salticidae,Naphrys
Salticidae,Paraphidippus
Salticidae,Pelegrina
Salticidae,Phidippus
Salticidae,Philaeus
Salticidae,Platycryptus
Salticidae,Plexippus
Salticidae,Salticus
Salticidae,Sassacus
Salticidae,Trite
Araneae,Sicariidae
